"","state_code","state_name","district_code","district_name","ngdp_code","census_year","Pop_Total","Pop_GenderMale","Pop_GenderFemale","Pop_CitizenshipCitizen","Pop_CitizenshipNon-citizen","AnnualPopGrowthRate_Average","Pop_EthnicMalay","Pop_EthnicOtherBumi","Pop_EthnicChinese","Pop_EthnicIndian","Pop_EthnicOther","Pop_AgeGroup0014","Pop_AgeGroup1564","Pop_AgeGroup65++","Pop_MaritalNeverMarried","Pop_MaritalMarried","Pop_MaritalWiddowed","Pop_MaritalDivorcedSeparated","Pop_ReligionIslam","Pop_ReligionChristian","Pop_ReligionBuddha","Pop_ReligionHindu","Pop_ReligionOthers","Pop_ReligionNoReligionUnknown","LandAreaKm2","Pop_Density","Pop_StrataUrban","Pop_StrataRural"
"761",13,"Sarawak",10,"Saratok","1310",2010,45015,22375,22640,44751,264,0.6849316297318,17941,23977,2748,26,59,13662,28310,3043,8965,20104,1945,339,18459,16359,2261,13,4522,3401,NA,NA,0,45015
"762",13,"Sarawak",10,"Saratok","1310",2020,23105,11383,11722,22862,243,-6.6694672323821,6197,15458,1178,6,23,4207,16708,2190,7383,10359,777,379,6771,15065,1115,3,40,111,887.53,26.0329228307776,0,23105
"763",13,"Sarawak",11,"Sarikei","1311",1970,54396,28221,26175,14902,NA,NA,2527,7793,4326,0,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764",13,"Sarawak",11,"Sarikei","1311",1980,41158,20672,20486,41158,NA,-2.78872302826355,3969,17393,19725,32,39,17232,22482,1444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12618,28540
"765",13,"Sarawak",11,"Sarikei","1311",1991,49631,24719,24912,49522,109,1.87197319579367,6436,21663,21367,30,26,18271,29419,1941,15222,19519,1670,256,14521,12861,6827,22,4058,10746,NA,NA,21156,28475
"766",13,"Sarawak",11,"Sarikei","1311",2000,57096,28725,28371,55631,1465,1.40118423169042,8012,25996,21596,14,13,19658,35025,2413,11264,24150,1755,269,18855,17931,7480,17,5508,7305,NA,NA,25053,32043
"767",13,"Sarawak",11,"Sarikei","1311",2010,56228,28329,27899,54992,1236,-0.153192081992468,9192,23542,21772,116,370,17350,35685,3193,11001,25913,1683,281,14606,17001,13032,46,8715,2828,NA,NA,32493,23735
"768",13,"Sarawak",11,"Sarikei","1311",2020,44039,22121,21918,43546,493,-2.44339248503176,7318,19221,16904,31,72,9832,30147,4060,11058,20376,1829,744,11531,20070,8317,16,157,3948,985,44.7096446700508,26018,18021
"769",13,"Sarawak",12,"Maradong","1312",1970,23997,11741,12256,23997,NA,NA,2050,17715,4205,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770",13,"Sarawak",12,"Maradong","1312",1980,27028,13487,13541,27028,NA,1.18944543155134,3509,10759,12745,4,11,11771,14158,1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27028
"771",13,"Sarawak",12,"Maradong","1312",1991,26957,13038,13919,26888,69,-0.0263036180184297,3987,11671,11194,30,6,10249,15293,1415,8616,10462,1046,195,5626,9068,823,34,6480,4877,NA,NA,0,26957
"772",13,"Sarawak",12,"Maradong","1312",2000,28942,14180,14762,28880,62,0.710508234277159,4327,13991,10543,7,12,10368,16958,1616,5257,12188,969,160,6313,11402,2107,8,4281,4831,NA,NA,0,28942
"773",13,"Sarawak",12,"Maradong","1312",2010,28713,14067,14646,27676,1037,-0.0794384543392182,4450,14310,8731,93,92,9450,17207,2056,5447,12590,1040,186,6290,10841,3297,38,7393,854,NA,NA,10285,18428
"774",13,"Sarawak",12,"Maradong","1312",2020,20299,10127,10172,19884,415,-3.46778358131248,3119,9279,7407,3,76,4940,13566,1793,4950,9091,869,375,4552,11357,2282,2,211,1895,719,28.2322670375522,7662,12637
"775",13,"Sarawak",13,"Daro","1313",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776",13,"Sarawak",13,"Daro","1313",1980,16387,7907,8480,16387,NA,NA,378,15024,979,6,0,11771,14158,1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"777",13,"Sarawak",13,"Daro","1313",1991,20059,9878,10181,20045,14,2.02189593278474,828,18228,968,16,5,8580,10490,989,6666,6601,825,162,18130,721,493,8,364,310,NA,NA,0,20059
"778",13,"Sarawak",13,"Daro","1313",2000,14851,7446,7405,14833,18,-3.00610727793752,740,13623,467,2,1,6065,8102,684,2985,5191,561,49,13564,836,279,0,26,146,NA,NA,0,14851
"779",13,"Sarawak",13,"Daro","1313",2010,29975,15676,14299,28048,1927,7.0229649786477,2319,24948,743,14,24,9296,18910,1769,7244,12302,984,149,23200,2253,314,20,3641,547,NA,NA,0,29975
"780",13,"Sarawak",13,"Daro","1313",2020,19477,10528,8949,17282,2195,-4.31129418665815,770,16200,249,4,59,5013,13091,1373,5904,7566,688,306,17495,1807,124,3,42,6,1226,15.8866231647635,0,19477
