ngdp00,census_year,Pop_Total,Pop_GenderMale,Pop_GenderFemale,Pop_CitizenshipCitizen,Pop_CitizenshipNon-citizen,Pop_EthnicMalay,Pop_EthnicOtherBumi,Pop_EthnicChinese,Pop_EthnicIndian,Pop_EthnicOther,Pop_AgeGroup0014,Pop_AgeGroup1564,Pop_AgeGroup65++,Pop_MaritalNeverMarried,Pop_MaritalMarried,Pop_MaritalWiddowed,Pop_MaritalDivorcedSeparated,Pop_ReligionIslam,Pop_ReligionChristian,Pop_ReligionBuddha,Pop_ReligionHindu,Pop_ReligionOthers,Pop_ReligionNoReligionUnknown,Pop_StrataUrban,Pop_StrataRural,LandAreaKm2,Pop_Density
1317,2000,44837,23054,21783,44220,617,1309,39579,3257,15,60,15796,26541,2500,8382,18846,1516,297,11161,17742,1183,15,9897,4839,NA,44837,6331,7.082
1317,2010,63799,33933,29866,59085,4714,3400,50979,4455,74,177,18171,41541,4087,15454,27669,2059,446,18800,29356,2098,47,4944,8554,16743,47056,6331,10.077
1317,2020,62119,32659,29460,56380,5739,3478,49171,3591,31,109,13904,43659,4556,16212,28642,2342,1019,21349,33076,1758,59,1595,4282,17025,45094,6331,9.812
1318,1991,25380,12137,13243,25364,16,637,21085,3622,13,7,10148,13584,1648,6704,10055,1261,455,751,11127,1452,15,11331,625,NA,25380,2253.54,11.262
1318,2000,27143,13228,13915,27114,29,848,23006,3251,8,1,9985,15297,1861,3962,11526,1391,279,1071,14787,1917,14,6423,2931,NA,27143,2253.54,12.045
1318,2010,28259,13784,14475,28013,246,1121,24040,2722,45,85,8272,16945,3042,4827,13470,1426,264,1422,15429,2079,51,7051,2227,NA,28259,2253.54,12.54
1318,2020,24700,12349,12351,24233,467,1025,21032,2141,4,31,5800,16055,2845,5303,11499,1599,499,1765,20955,1465,16,32,467,NA,24700,2253.54,10.961
1319,1991,86132,48009,38123,84462,1670,9590,53520,20711,204,437,28424,55468,2240,27122,34890,1881,523,23796,30403,5886,147,15102,10192,51862,34270,7220.36,11.929
1319,2000,139012,73693,65319,121732,17280,13803,79647,27653,153,476,47202,88799,3011,30776,58227,2109,698,48355,58423,10465,99,14009,7661,103733,35279,7220.36,19.253
1319,2010,183402,99489,83913,155509,27893,20036,103484,30831,430,728,53023,124966,5413,41223,84699,3292,1165,61898,81968,16348,339,13084,9765,135128,48274,7220.36,25.401
1319,2020,208252,113474,94778,183327,24925,25572,122820,34016,297,622,48465,153159,6628,57013,95241,3533,2328,68861,123424,11936,355,834,2842,153125,55127,7220.36,28.842
1320,1991,21124,12267,8857,20970,154,920,17446,2519,14,71,7168,13149,807,6620,8495,617,228,2354,7645,690,9,8376,2049,NA,21124,4945.85,4.271
1320,2000,23241,12225,11016,21113,2128,978,18576,1499,6,54,8365,13947,929,4221,9761,693,201,4327,10985,863,3,5405,1658,NA,23241,4945.85,4.699
1320,2010,29592,15714,13878,25589,4003,959,22883,1520,38,189,8509,19624,1459,5621,14539,793,130,5323,15731,1114,44,4253,3127,NA,29592,4945.85,5.983
1320,2020,31920,17542,14378,28455,3465,1399,25555,1327,13,161,7763,22509,1648,7858,14848,838,316,5960,24764,660,7,148,381,NA,31920,4945.85,6.454
1321,1991,55608,30413,25195,55243,365,1441,47532,6209,20,41,20707,32918,1983,14663,22417,1849,1065,2233,24220,1883,21,23900,2914,NA,55608,15949,3.487
